,geo_value,signal,time_value,direction,issue,lag,value,stderr,sample_size,geo_type,data_source
19,ma,smoothed_cli,2020-05-23,,2020-09-03,103,0.3886465,0.0503698,11122.0325,state,fb-survey
20,md,smoothed_cli,2020-05-23,,2020-09-03,103,0.3555737,0.0563805,7817.9893,state,fb-survey
21,me,smoothed_cli,2020-05-23,,2020-09-03,103,0.3410432,0.0725249,4701.2234,state,fb-survey
22,mi,smoothed_cli,2020-05-23,,2020-09-03,103,0.2882136,0.0276569,27993.0725,state,fb-survey
23,mn,smoothed_cli,2020-05-23,,2020-09-03,103,0.457083,0.0566603,10704.5225,state,fb-survey
24,mo,smoothed_cli,2020-05-23,,2020-09-03,103,0.4081554,0.0539199,10104.9488,state,fb-survey
25,ms,smoothed_cli,2020-05-23,,2020-09-03,103,0.4828417,0.0747707,5964.828,state,fb-survey
26,mt,smoothed_cli,2020-05-23,,2020-09-03,103,0.3370871,0.0798978,3108.1325,state,fb-survey
27,nc,smoothed_cli,2020-05-23,,2020-09-03,103,0.3118459,0.0322189,20809.026,state,fb-survey
28,nd,smoothed_cli,2020-05-23,,2020-09-03,103,0.4838441,0.1330079,2006.1926,state,fb-survey
29,ne,smoothed_cli,2020-05-23,,2020-09-03,103,0.6729157,0.0995726,5196.833,state,fb-survey
30,nh,smoothed_cli,2020-05-23,,2020-09-03,103,0.3925124,0.0857435,4488.7766,state,fb-survey
31,nj,smoothed_cli,2020-05-23,,2020-09-03,103,0.3451929,0.0407514,14624.9952,state,fb-survey
32,nm,smoothed_cli,2020-05-23,,2020-09-03,103,0.3199679,0.0777166,3811.284,state,fb-survey
33,nv,smoothed_cli,2020-05-23,,2020-09-03,103,0.4149463,0.0827636,4329.8182,state,fb-survey
34,ny,smoothed_cli,2020-05-23,,2020-09-03,103,0.3774709,0.0317454,28261.9998,state,fb-survey
35,oh,smoothed_cli,2020-05-23,,2020-09-03,103,0.378764,0.0339306,24458.0035,state,fb-survey
36,ok,smoothed_cli,2020-05-23,,2020-09-03,103,0.4832407,0.0650401,7987.2202,state,fb-survey
37,or,smoothed_cli,2020-05-23,,2020-09-03,103,0.3563686,0.0556614,8988.4943,state,fb-survey
38,pa,smoothed_cli,2020-05-23,,2020-09-03,103,0.2837147,0.0268524,29083.0166,state,fb-survey
39,pr,smoothed_cli,2020-05-23,,2020-09-03,103,0.0,0.4,123.9996,state,fb-survey
40,ri,smoothed_cli,2020-05-23,,2020-09-03,103,0.4627783,0.1269825,2572.9675,state,fb-survey
41,sc,smoothed_cli,2020-05-23,,2020-09-03,103,0.4001614,0.0484717,12766.0107,state,fb-survey
42,sd,smoothed_cli,2020-05-23,,2020-09-03,103,0.5968433,0.1335251,2311.5626,state,fb-survey
43,tn,smoothed_cli,2020-05-23,,2020-09-03,103,0.4660409,0.0542509,12052.1737,state,fb-survey
44,tx,smoothed_cli,2020-05-23,,2020-09-03,103,0.3825462,0.0294403,34006.8277,state,fb-survey
45,ut,smoothed_cli,2020-05-23,,2020-09-03,103,0.3228552,0.0585511,6136.662,state,fb-survey
46,va,smoothed_cli,2020-05-23,,2020-09-03,103,0.3657602,0.0383826,18305.753,state,fb-survey
47,vt,smoothed_cli,2020-05-23,,2020-09-03,103,0.0949913,0.0513555,1930.0018,state,fb-survey
48,wa,smoothed_cli,2020-05-23,,2020-09-03,103,0.3672175,0.0454431,13926.9245,state,fb-survey
49,wi,smoothed_cli,2020-05-23,,2020-09-03,103,0.4154811,0.0490519,13102.9286,state,fb-survey
50,wv,smoothed_cli,2020-05-23,,2020-09-03,103,0.3926292,0.0711528,5407.5125,state,fb-survey
51,wy,smoothed_cli,2020-05-23,,2020-09-03,103,0.4470038,0.1487254,1662.462,state,fb-survey
0,ak,smoothed_cli,2020-05-24,,2020-09-03,102,0.4450738,0.1360536,1816.0,state,fb-survey
1,al,smoothed_cli,2020-05-24,,2020-09-03,102,0.4492245,0.0598876,8670.2056,state,fb-survey
2,ar,smoothed_cli,2020-05-24,,2020-09-03,102,0.4670788,0.0755569,5756.5508,state,fb-survey
3,az,smoothed_cli,2020-05-24,,2020-09-03,102,0.394696,0.04757,12193.6669,state,fb-survey
4,ca,smoothed_cli,2020-05-24,,2020-09-03,102,0.3773196,0.0259616,43155.1857,state,fb-survey
5,co,smoothed_cli,2020-05-24,,2020-09-03,102,0.3681285,0.0463427,11570.5931,state,fb-survey
6,ct,smoothed_cli,2020-05-24,,2020-09-03,102,0.3247139,0.0466837,10274.0,state,fb-survey
7,dc,smoothed_cli,2020-05-24,,2020-09-03,102,0.4802438,0.2286063,854.0,state,fb-survey
8,de,smoothed_cli,2020-05-24,,2020-09-03,102,0.2619377,0.082031,2928.0073,state,fb-survey
9,fl,smoothed_cli,2020-05-24,,2020-09-03,102,0.3102563,0.0266035,32571.0009,state,fb-survey
10,ga,smoothed_cli,2020-05-24,,2020-09-03,102,0.4266818,0.048863,13186.8612,state,fb-survey
11,hi,smoothed_cli,2020-05-24,,2020-09-03,102,0.2079016,0.0817262,2413.0,state,fb-survey
12,ia,smoothed_cli,2020-05-24,,2020-09-03,102,0.572301,0.0661683,9577.8984,state,fb-survey
13,id,smoothed_cli,2020-05-24,,2020-09-03,102,0.3124132,0.07004,4496.2121,state,fb-survey
14,il,smoothed_cli,2020-05-24,,2020-09-03,102,0.398781,0.0356609,23897.0006,state,fb-survey
15,in,smoothed_cli,2020-05-24,,2020-09-03,102,0.4528429,0.0490887,13610.9992,state,fb-survey
16,ks,smoothed_cli,2020-05-24,,2020-09-03,102,0.3964772,0.0674486,6602.1515,state,fb-survey
17,ky,smoothed_cli,2020-05-24,,2020-09-03,102,0.4332657,0.060687,8209.2134,state,fb-survey
18,la,smoothed_cli,2020-05-24,,2020-09-03,102,0.4447756,0.0595479,9358.1063,state,fb-survey
19,ma,smoothed_cli,2020-05-24,,2020-09-03,102,0.3549145,0.0472554,11233.0305,state,fb-survey
20,md,smoothed_cli,2020-05-24,,2020-09-03,102,0.3946333,0.0593035,7905.9891,state,fb-survey
21,me,smoothed_cli,2020-05-24,,2020-09-03,102,0.3489167,0.0725703,4700.2234,state,fb-survey
22,mi,smoothed_cli,2020-05-24,,2020-09-03,102,0.3050163,0.0287229,27474.0477,state,fb-survey
23,mn,smoothed_cli,2020-05-24,,2020-09-03,102,0.4308796,0.0549727,10760.6009,state,fb-survey
24,mo,smoothed_cli,2020-05-24,,2020-09-03,102,0.4149077,0.0543945,10201.6785,state,fb-survey
25,ms,smoothed_cli,2020-05-24,,2020-09-03,102,0.418699,0.0696512,5964.1823,state,fb-survey
26,mt,smoothed_cli,2020-05-24,,2020-09-03,102,0.2590884,0.0690147,3067.3208,state,fb-survey
27,nc,smoothed_cli,2020-05-24,,2020-09-03,102,0.3359675,0.0337349,20744.0251,state,fb-survey
28,nd,smoothed_cli,2020-05-24,,2020-09-03,102,0.4771702,0.1338964,2086.7969,state,fb-survey
29,ne,smoothed_cli,2020-05-24,,2020-09-03,102,0.6568673,0.0958063,5217.5534,state,fb-survey
30,nh,smoothed_cli,2020-05-24,,2020-09-03,102,0.3861043,0.0834407,4507.7766,state,fb-survey
31,nj,smoothed_cli,2020-05-24,,2020-09-03,102,0.3528466,0.0414493,14742.9948,state,fb-survey
32,nm,smoothed_cli,2020-05-24,,2020-09-03,102,0.3000369,0.0771837,3786.5249,state,fb-survey
33,nv,smoothed_cli,2020-05-24,,2020-09-03,102,0.4142163,0.0854161,4379.5672,state,fb-survey
34,ny,smoothed_cli,2020-05-24,,2020-09-03,102,0.3835477,0.0320122,27890.9997,state,fb-survey
35,oh,smoothed_cli,2020-05-24,,2020-09-03,102,0.3621816,0.0336548,24004.0053,state,fb-survey
36,ok,smoothed_cli,2020-05-24,,2020-09-03,102,0.4675628,0.0646575,7970.2206,state,fb-survey
37,or,smoothed_cli,2020-05-24,,2020-09-03,102,0.3514213,0.054837,9068.3918,state,fb-survey
38,pa,smoothed_cli,2020-05-24,,2020-09-03,102,0.2993414,0.0278996,28747.0163,state,fb-survey
39,pr,smoothed_cli,2020-05-24,,2020-09-03,102,0.0,0.3597122,137.9996,state,fb-survey
40,ri,smoothed_cli,2020-05-24,,2020-09-03,102,0.3968298,0.1161224,2582.9695,state,fb-survey
41,sc,smoothed_cli,2020-05-24,,2020-09-03,102,0.4020161,0.0488101,12700.0106,state,fb-survey
42,sd,smoothed_cli,2020-05-24,,2020-09-03,102,0.5313806,0.1206593,2315.0031,state,fb-survey
43,tn,smoothed_cli,2020-05-24,,2020-09-03,102,0.5106004,0.0569055,12044.7682,state,fb-survey
44,tx,smoothed_cli,2020-05-24,,2020-09-03,102,0.3946591,0.029838,33981.8185,state,fb-survey
45,ut,smoothed_cli,2020-05-24,,2020-09-03,102,0.2946233,0.0558171,6225.7138,state,fb-survey
46,va,smoothed_cli,2020-05-24,,2020-09-03,102,0.4074881,0.0403381,18237.3527,state,fb-survey
47,vt,smoothed_cli,2020-05-24,,2020-09-03,102,0.1014492,0.0531448,1955.0018,state,fb-survey
48,wa,smoothed_cli,2020-05-24,,2020-09-03,102,0.3502621,0.0442661,14072.9233,state,fb-survey
49,wi,smoothed_cli,2020-05-24,,2020-09-03,102,0.4273655,0.0499434,12848.9542,state,fb-survey
50,wv,smoothed_cli,2020-05-24,,2020-09-03,102,0.3351442,0.0658962,5340.5115,state,fb-survey
51,wy,smoothed_cli,2020-05-24,,2020-09-03,102,0.4485352,0.1490685,1661.5039,state,fb-survey
0,ak,smoothed_cli,2020-05-25,,2020-09-03,101,0.4051684,0.1348353,1855.0,state,fb-survey
1,al,smoothed_cli,2020-05-25,,2020-09-03,101,0.5120251,0.0648901,8671.2109,state,fb-survey
2,ar,smoothed_cli,2020-05-25,,2020-09-03,101,0.4363076,0.0720449,5896.2992,state,fb-survey
3,az,smoothed_cli,2020-05-25,,2020-09-03,101,0.4278734,0.0484001,12463.0063,state,fb-survey
4,ca,smoothed_cli,2020-05-25,,2020-09-03,101,0.3743819,0.0256445,43547.2073,state,fb-survey
5,co,smoothed_cli,2020-05-25,,2020-09-03,101,0.3377764,0.0444899,11771.6222,state,fb-survey
6,ct,smoothed_cli,2020-05-25,,2020-09-03,101,0.3523009,0.0483529,10474.0,state,fb-survey
7,dc,smoothed_cli,2020-05-25,,2020-09-03,101,0.6189767,0.2522468,878.0,state,fb-survey
8,de,smoothed_cli,2020-05-25,,2020-09-03,101,0.2998485,0.0883414,2931.0073,state,fb-survey
9,fl,smoothed_cli,2020-05-25,,2020-09-03,101,0.3190965,0.0269137,32996.0002,state,fb-survey
10,ga,smoothed_cli,2020-05-25,,2020-09-03,101,0.4159891,0.0475756,13300.8647,state,fb-survey
11,hi,smoothed_cli,2020-05-25,,2020-09-03,101,0.1415989,0.0673502,2460.0,state,fb-survey
12,ia,smoothed_cli,2020-05-25,,2020-09-03,101,0.5969855,0.0674093,9676.7937,state,fb-survey
13,id,smoothed_cli,2020-05-25,,2020-09-03,101,0.3064371,0.0672035,4473.9643,state,fb-survey
14,il,smoothed_cli,2020-05-25,,2020-09-03,101,0.3731673,0.0343987,23786.0005,state,fb-survey
15,in,smoothed_cli,2020-05-25,,2020-09-03,101,0.4285187,0.048067,13465.9989,state,fb-survey
16,ks,smoothed_cli,2020-05-25,,2020-09-03,101,0.3855962,0.066883,6645.9199,state,fb-survey
17,ky,smoothed_cli,2020-05-25,,2020-09-03,101,0.4147834,0.0599696,8257.6426,state,fb-survey
18,la,smoothed_cli,2020-05-25,,2020-09-03,101,0.4473176,0.0599027,9435.2904,state,fb-survey
19,ma,smoothed_cli,2020-05-25,,2020-09-03,101,0.3726233,0.0484784,11412.0315,state,fb-survey
20,md,smoothed_cli,2020-05-25,,2020-09-03,101,0.4156817,0.059623,8197.989,state,fb-survey
21,me,smoothed_cli,2020-05-25,,2020-09-03,101,0.3280475,0.0723449,4872.2234,state,fb-survey
22,mi,smoothed_cli,2020-05-25,,2020-09-03,101,0.2802557,0.0279946,27130.0314,state,fb-survey
23,mn,smoothed_cli,2020-05-25,,2020-09-03,101,0.4513059,0.0563619,11007.6387,state,fb-survey
24,mo,smoothed_cli,2020-05-25,,2020-09-03,101,0.4451779,0.0549318,10467.7397,state,fb-survey
25,ms,smoothed_cli,2020-05-25,,2020-09-03,101,0.4199576,0.0694006,6022.0002,state,fb-survey
26,mt,smoothed_cli,2020-05-25,,2020-09-03,101,0.3161909,0.0845075,3013.3311,state,fb-survey
27,nc,smoothed_cli,2020-05-25,,2020-09-03,101,0.3421447,0.033755,20910.0253,state,fb-survey
28,nd,smoothed_cli,2020-05-25,,2020-09-03,101,0.5340149,0.1376849,2132.816,state,fb-survey
29,ne,smoothed_cli,2020-05-25,,2020-09-03,101,0.536498,0.0823823,5307.5828,state,fb-survey
30,nh,smoothed_cli,2020-05-25,,2020-09-03,101,0.4280977,0.0886049,4532.7766,state,fb-survey
31,nj,smoothed_cli,2020-05-25,,2020-09-03,101,0.3527796,0.0417564,14952.9943,state,fb-survey
32,nm,smoothed_cli,2020-05-25,,2020-09-03,101,0.3141903,0.0816893,3788.2412,state,fb-survey
33,nv,smoothed_cli,2020-05-25,,2020-09-03,101,0.4017202,0.0807521,4536.5453,state,fb-survey
34,ny,smoothed_cli,2020-05-25,,2020-09-03,101,0.4059967,0.0331369,27673.0004,state,fb-survey
35,oh,smoothed_cli,2020-05-25,,2020-09-03,101,0.3481484,0.0327729,23909.0044,state,fb-survey
36,ok,smoothed_cli,2020-05-25,,2020-09-03,101,0.4284092,0.0615678,8107.2778,state,fb-survey
37,or,smoothed_cli,2020-05-25,,2020-09-03,101,0.3054733,0.0501948,9237.3904,state,fb-survey
38,pa,smoothed_cli,2020-05-25,,2020-09-03,101,0.3060614,0.0284222,28476.0169,state,fb-survey
39,pr,smoothed_cli,2020-05-25,,2020-09-03,101,0.0,0.2890173,171.9994,state,fb-survey
40,ri,smoothed_cli,2020-05-25,,2020-09-03,101,0.3802475,0.1120722,2550.9685,state,fb-survey
41,sc,smoothed_cli,2020-05-25,,2020-09-03,101,0.3721412,0.0460087,12785.0096,state,fb-survey
42,sd,smoothed_cli,2020-05-25,,2020-09-03,101,0.5964904,0.1292833,2280.1925,state,fb-survey
43,tn,smoothed_cli,2020-05-25,,2020-09-03,101,0.4580653,0.0550619,12002.328,state,fb-survey
44,tx,smoothed_cli,2020-05-25,,2020-09-03,101,0.3837714,0.0288443,34392.8249,state,fb-survey
45,ut,smoothed_cli,2020-05-25,,2020-09-03,101,0.3281812,0.0589886,6289.6311,state,fb-survey
46,va,smoothed_cli,2020-05-25,,2020-09-03,101,0.3543433,0.0371387,18066.9104,state,fb-survey
47,vt,smoothed_cli,2020-05-25,,2020-09-03,101,0.1001683,0.052475,1980.0017,state,fb-survey
48,wa,smoothed_cli,2020-05-25,,2020-09-03,101,0.353549,0.0433602,14389.9258,state,fb-survey
49,wi,smoothed_cli,2020-05-25,,2020-09-03,101,0.3569497,0.0453384,12907.9699,state,fb-survey
50,wv,smoothed_cli,2020-05-25,,2020-09-03,101,0.3657763,0.0703114,5332.5595,state,fb-survey
51,wy,smoothed_cli,2020-05-25,,2020-09-03,101,0.3660233,0.1364358,1660.7433,state,fb-survey
0,ak,smoothed_cli,2020-05-26,,2020-09-03,100,0.4153019,0.1346438,1890.0,state,fb-survey
1,al,smoothed_cli,2020-05-26,,2020-09-03,100,0.491219,0.0626606,8959.2265,state,fb-survey
2,ar,smoothed_cli,2020-05-26,,2020-09-03,100,0.5025299,0.0777623,6171.3731,state,fb-survey
3,az,smoothed_cli,2020-05-26,,2020-09-03,100,0.4397672,0.0480507,12987.5601,state,fb-survey
4,ca,smoothed_cli,2020-05-26,,2020-09-03,100,0.3551419,0.024079,46627.7547,state,fb-survey
5,co,smoothed_cli,2020-05-26,,2020-09-03,100,0.3299633,0.0426034,12282.7156,state,fb-survey
6,ct,smoothed_cli,2020-05-26,,2020-09-03,100,0.3707743,0.048993,11004.0,state,fb-survey
7,dc,smoothed_cli,2020-05-26,,2020-09-03,100,0.4815,0.2150089,921.0,state,fb-survey
8,de,smoothed_cli,2020-05-26,,2020-09-03,100,0.258097,0.0793146,3031.0146,state,fb-survey
9,fl,smoothed_cli,2020-05-26,,2020-09-03,100,0.3270883,0.0262805,35608.9999,state,fb-survey
10,ga,smoothed_cli,2020-05-26,,2020-09-03,100,0.4092623,0.0454792,14194.8493,state,fb-survey
11,hi,smoothed_cli,2020-05-26,,2020-09-03,100,0.1511209,0.0668375,2498.0,state,fb-survey
12,ia,smoothed_cli,2020-05-26,,2020-09-03,100,0.557788,0.0628684,10184.7718,state,fb-survey
13,id,smoothed_cli,2020-05-26,,2020-09-03,100,0.2912149,0.0641646,4651.164,state,fb-survey
14,il,smoothed_cli,2020-05-26,,2020-09-03,100,0.3670854,0.0330584,25285.0008,state,fb-survey
15,in,smoothed_cli,2020-05-26,,2020-09-03,100,0.4398857,0.0476689,13980.0003,state,fb-survey
16,ks,smoothed_cli,2020-05-26,,2020-09-03,100,0.3583395,0.0623868,6949.9199,state,fb-survey
17,ky,smoothed_cli,2020-05-26,,2020-09-03,100,0.3985853,0.0576001,8519.8872,state,fb-survey
18,la,smoothed_cli,2020-05-26,,2020-09-03,100,0.4033949,0.0561082,9760.2896,state,fb-survey
19,ma,smoothed_cli,2020-05-26,,2020-09-03,100,0.3777887,0.0476796,11918.0345,state,fb-survey
20,md,smoothed_cli,2020-05-26,,2020-09-03,100,0.4698978,0.0627852,8622.9813,state,fb-survey
21,me,smoothed_cli,2020-05-26,,2020-09-03,100,0.2857049,0.0684377,5081.0,state,fb-survey
22,mi,smoothed_cli,2020-05-26,,2020-09-03,100,0.2815549,0.0274109,28690.0298,state,fb-survey
23,mn,smoothed_cli,2020-05-26,,2020-09-03,100,0.4387417,0.0541384,11555.7116,state,fb-survey
24,mo,smoothed_cli,2020-05-26,,2020-09-03,100,0.4268362,0.0525137,10937.7416,state,fb-survey
25,ms,smoothed_cli,2020-05-26,,2020-09-03,100,0.4273841,0.0687712,6268.2449,state,fb-survey
26,mt,smoothed_cli,2020-05-26,,2020-09-03,100,0.3193057,0.0861314,3105.0977,state,fb-survey
27,nc,smoothed_cli,2020-05-26,,2020-09-03,100,0.34483,0.0328209,22048.0247,state,fb-survey
28,nd,smoothed_cli,2020-05-26,,2020-09-03,100,0.5874198,0.1384819,2194.0995,state,fb-survey
29,ne,smoothed_cli,2020-05-26,,2020-09-03,100,0.549067,0.0816487,5542.5213,state,fb-survey
30,nh,smoothed_cli,2020-05-26,,2020-09-03,100,0.3759451,0.0811976,4736.0,state,fb-survey
31,nj,smoothed_cli,2020-05-26,,2020-09-03,100,0.363757,0.0412622,15754.9942,state,fb-survey
32,nm,smoothed_cli,2020-05-26,,2020-09-03,100,0.3167328,0.0800799,3931.5388,state,fb-survey
33,nv,smoothed_cli,2020-05-26,,2020-09-03,100,0.328453,0.073737,4645.28,state,fb-survey
34,ny,smoothed_cli,2020-05-26,,2020-09-03,100,0.402372,0.0316893,29796.0002,state,fb-survey
35,oh,smoothed_cli,2020-05-26,,2020-09-03,100,0.3347178,0.0310294,25137.005,state,fb-survey
36,ok,smoothed_cli,2020-05-26,,2020-09-03,100,0.4086224,0.0586884,8423.0333,state,fb-survey
37,or,smoothed_cli,2020-05-26,,2020-09-03,100,0.3446515,0.0531446,9508.1101,state,fb-survey
38,pa,smoothed_cli,2020-05-26,,2020-09-03,100,0.3020963,0.0272829,30043.0171,state,fb-survey
39,pr,smoothed_cli,2020-05-26,,2020-09-03,100,0.0,0.2463054,201.9992,state,fb-survey
40,ri,smoothed_cli,2020-05-26,,2020-09-03,100,0.4592457,0.1174834,2710.9655,state,fb-survey
41,sc,smoothed_cli,2020-05-26,,2020-09-03,100,0.325653,0.0419044,13384.0108,state,fb-survey
42,sd,smoothed_cli,2020-05-26,,2020-09-03,100,0.5292735,0.1248248,2378.0672,state,fb-survey
43,tn,smoothed_cli,2020-05-26,,2020-09-03,100,0.4456773,0.0525602,12525.0808,state,fb-survey
44,tx,smoothed_cli,2020-05-26,,2020-09-03,100,0.3591567,0.0270792,36939.0653,state,fb-survey
45,ut,smoothed_cli,2020-05-26,,2020-09-03,100,0.3373346,0.058841,6553.5987,state,fb-survey
46,va,smoothed_cli,2020-05-26,,2020-09-03,100,0.3785937,0.03764,18813.9382,state,fb-survey
47,vt,smoothed_cli,2020-05-26,,2020-09-03,100,0.0950327,0.0497894,2087.0018,state,fb-survey
48,wa,smoothed_cli,2020-05-26,,2020-09-03,100,0.3850273,0.0447063,14859.9242,state,fb-survey
49,wi,smoothed_cli,2020-05-26,,2020-09-03,100,0.3432533,0.0431403,13494.9704,state,fb-survey
50,wv,smoothed_cli,2020-05-26,,2020-09-03,100,0.3598963,0.0680148,5528.708,state,fb-survey
51,wy,smoothed_cli,2020-05-26,,2020-09-03,100,0.2662981,0.1072107,1719.6454,state,fb-survey
0,ak,smoothed_cli,2020-05-27,,2020-09-03,99,0.4035808,0.1314458,1821.0,state,fb-survey
1,al,smoothed_cli,2020-05-27,,2020-09-03,99,0.5382212,0.0683727,8644.2134,state,fb-survey
2,ar,smoothed_cli,2020-05-27,,2020-09-03,99,0.5004198,0.0783643,6012.7596,state,fb-survey
3,az,smoothed_cli,2020-05-27,,2020-09-03,99,0.469225,0.0497163,12760.3757,state,fb-survey
4,ca,smoothed_cli,2020-05-27,,2020-09-03,99,0.329808,0.0231901,47098.951,state,fb-survey
5,co,smoothed_cli,2020-05-27,,2020-09-03,99,0.3526069,0.0457396,11893.6883,state,fb-survey
6,ct,smoothed_cli,2020-05-27,,2020-09-03,99,0.3906817,0.0514814,10567.0,state,fb-survey
7,dc,smoothed_cli,2020-05-27,,2020-09-03,99,0.4410143,0.2142212,907.0,state,fb-survey
8,de,smoothed_cli,2020-05-27,,2020-09-03,99,0.3270591,0.0939692,2890.0146,state,fb-survey
9,fl,smoothed_cli,2020-05-27,,2020-09-03,99,0.3249372,0.0262367,35759.0001,state,fb-survey
10,ga,smoothed_cli,2020-05-27,,2020-09-03,99,0.4336161,0.0475428,14007.8572,state,fb-survey
11,hi,smoothed_cli,2020-05-27,,2020-09-03,99,0.1717236,0.0787858,2373.0,state,fb-survey
12,ia,smoothed_cli,2020-05-27,,2020-09-03,99,0.5678416,0.0651323,9800.0551,state,fb-survey
13,id,smoothed_cli,2020-05-27,,2020-09-03,99,0.3237774,0.0698286,4428.1726,state,fb-survey
14,il,smoothed_cli,2020-05-27,,2020-09-03,99,0.3967069,0.0346453,24949.0227,state,fb-survey
15,in,smoothed_cli,2020-05-27,,2020-09-03,99,0.4313426,0.0476343,13372.0041,state,fb-survey
16,ks,smoothed_cli,2020-05-27,,2020-09-03,99,0.3506599,0.0629718,6737.785,state,fb-survey
17,ky,smoothed_cli,2020-05-27,,2020-09-03,99,0.3971637,0.0602878,8061.5174,state,fb-survey
18,la,smoothed_cli,2020-05-27,,2020-09-03,99,0.4334826,0.0597481,9409.1048,state,fb-survey
19,ma,smoothed_cli,2020-05-27,,2020-09-03,99,0.385083,0.0487056,11421.037,state,fb-survey
20,md,smoothed_cli,2020-05-27,,2020-09-03,99,0.5075523,0.0671588,8404.9818,state,fb-survey
21,me,smoothed_cli,2020-05-27,,2020-09-03,99,0.2609862,0.0691723,4847.0,state,fb-survey
22,mi,smoothed_cli,2020-05-27,,2020-09-03,99,0.2999142,0.0287209,28413.005,state,fb-survey
23,mn,smoothed_cli,2020-05-27,,2020-09-03,99,0.4367921,0.0551196,11184.3953,state,fb-survey
24,mo,smoothed_cli,2020-05-27,,2020-09-03,99,0.4481585,0.0547136,10589.4421,state,fb-survey
25,ms,smoothed_cli,2020-05-27,,2020-09-03,99,0.5117538,0.077978,6066.3228,state,fb-survey
26,mt,smoothed_cli,2020-05-27,,2020-09-03,99,0.3232357,0.0895226,2964.4755,state,fb-survey
27,nc,smoothed_cli,2020-05-27,,2020-09-03,99,0.3395813,0.0334216,21417.0254,state,fb-survey
28,nd,smoothed_cli,2020-05-27,,2020-09-03,99,0.4536385,0.129265,2070.6591,state,fb-survey
29,ne,smoothed_cli,2020-05-27,,2020-09-03,99,0.5240053,0.0788502,5319.5713,state,fb-survey
30,nh,smoothed_cli,2020-05-27,,2020-09-03,99,0.3480829,0.0790388,4507.0,state,fb-survey
31,nj,smoothed_cli,2020-05-27,,2020-09-03,99,0.4022388,0.0443172,15349.9942,state,fb-survey
32,nm,smoothed_cli,2020-05-27,,2020-09-03,99,0.3257078,0.081903,3818.7484,state,fb-survey
33,nv,smoothed_cli,2020-05-27,,2020-09-03,99,0.2316353,0.0630366,4529.0837,state,fb-survey
34,ny,smoothed_cli,2020-05-27,,2020-09-03,99,0.4042939,0.0317917,29688.9985,state,fb-survey
35,oh,smoothed_cli,2020-05-27,,2020-09-03,99,0.3295322,0.0311539,24645.0019,state,fb-survey
36,ok,smoothed_cli,2020-05-27,,2020-09-03,99,0.4108913,0.0619126,8125.0337,state,fb-survey
37,or,smoothed_cli,2020-05-27,,2020-09-03,99,0.3271105,0.053735,9099.1139,state,fb-survey
38,pa,smoothed_cli,2020-05-27,,2020-09-03,99,0.2866123,0.0266253,29497.0165,state,fb-survey
39,pr,smoothed_cli,2020-05-27,,2020-09-03,99,0.0,0.2293578,216.9989,state,fb-survey
40,ri,smoothed_cli,2020-05-27,,2020-09-03,99,0.4505259,0.116603,2596.963,state,fb-survey
41,sc,smoothed_cli,2020-05-27,,2020-09-03,99,0.3443546,0.0444476,13027.01,state,fb-survey
42,sd,smoothed_cli,2020-05-27,,2020-09-03,99,0.5764497,0.1351637,2316.3174,state,fb-survey
43,tn,smoothed_cli,2020-05-27,,2020-09-03,99,0.4002302,0.0503537,12040.4398,state,fb-survey
44,tx,smoothed_cli,2020-05-27,,2020-09-03,99,0.3578602,0.0270733,37149.1711,state,fb-survey
45,ut,smoothed_cli,2020-05-27,,2020-09-03,99,0.312432,0.0554532,6398.5033,state,fb-survey
46,va,smoothed_cli,2020-05-27,,2020-09-03,99,0.3934099,0.0390035,17944.5736,state,fb-survey
47,vt,smoothed_cli,2020-05-27,,2020-09-03,99,0.0606656,0.0431346,2033.0014,state,fb-survey
48,wa,smoothed_cli,2020-05-27,,2020-09-03,99,0.3247308,0.0410467,14424.9201,state,fb-survey
49,wi,smoothed_cli,2020-05-27,,2020-09-03,99,0.3167522,0.0417661,13130.9955,state,fb-survey
50,wv,smoothed_cli,2020-05-27,,2020-09-03,99,0.3041221,0.0645674,5289.6575,state,fb-survey
51,wy,smoothed_cli,2020-05-27,,2020-09-03,99,0.3429551,0.1260693,1648.6348,state,fb-survey
0,ak,smoothed_cli,2020-05-28,,2020-09-03,98,0.4992531,0.1513195,1817.0,state,fb-survey
1,al,smoothed_cli,2020-05-28,,2020-09-03,98,0.5706282,0.0713212,8594.186,state,fb-survey
2,ar,smoothed_cli,2020-05-28,,2020-09-03,98,0.5053895,0.0785349,6059.0839,state,fb-survey
3,az,smoothed_cli,2020-05-28,,2020-09-03,98,0.4935247,0.0521084,12809.2672,state,fb-survey
4,ca,smoothed_cli,2020-05-28,,2020-09-03,98,0.3227913,0.0227627,47721.0167,state,fb-survey
5,co,smoothed_cli,2020-05-28,,2020-09-03,98,0.3397447,0.0450871,11809.6873,state,fb-survey
6,ct,smoothed_cli,2020-05-28,,2020-09-03,98,0.365008,0.0505289,10671.0,state,fb-survey
7,dc,smoothed_cli,2020-05-28,,2020-09-03,98,0.4751462,0.2160624,912.0,state,fb-survey
8,de,smoothed_cli,2020-05-28,,2020-09-03,98,0.3000469,0.091374,2928.0146,state,fb-survey
9,fl,smoothed_cli,2020-05-28,,2020-09-03,98,0.3359238,0.0266647,36214.0008,state,fb-survey
10,ga,smoothed_cli,2020-05-28,,2020-09-03,98,0.4127933,0.0464035,14082.8742,state,fb-survey
